crn,name,title,term,credits,status,schedule,begin,end,building,room,capacity,professor,prereq,description,major
82830,AAS 122,HISTORY OF JAZZ I,Fall 2018,4.0,Open,MW,1525,1640,STRNG,LOWER,85,TITUS J,NULL,"This study of Jazz, as an American musical art form, will be structured around the lives and music of jazz musicians, across a range of instrumental, vocal, and ensemble genres. Course focuses on jazz titans, those individuals and musical groups distinguished by their seminal and permanent influences, such as Louis Armstrong, Miles Davis, or Coleman Hawkins or shorter intense careers, such as Charlie Parker. Blues, ragtime, swing, bebop, cool, progressive, and free jazz are landmark terms. And finally, study of the musical history will be enhanced by considerations from sociological, linguistic, and philosophical perspectives. The instructional format includes lectures, discussion and intense emphasis on listening. This course is designed for students with little or no musical training; simple technical, musical vocabulary and concepts will be provided. Reading, listening assignments, brief written assignments and two exams. No prerequisites. (Fall Only)",AAS
91653,AAS 153,Islam in America,Fall 2018,4.0,Open,MW,1025,1140,MEL,218,25,DUBLER J,NULL,"This course tracks the intersection between two grand social projects: the religion of Islam and the United States of America. From enslaved Africans, to modern black nationalists, to post-1965 immigrants, American Muslims have engaged in a wide array of ritual, cultural, and political practices. By means of a variety of primary and secondary sources, we will explore these practices. Simultaneously, over the same span, ""Islam"" and ""America"" have each existed as contested categories, where the meaning of the one has been thought to reveal something about the meaning of the other. Historically and in the present day, what has ""Islam"" revealed about ""America,"" and what has ""America"" revealed about ""Islam?""",AAS
10047,AAS 165,MBIRA ENSEMBLE,Fall 2018,1.0,Open,M,1830,2000,ET,12,20,WEST G,NULL,"6ENS 216 (I, II-1) Mbira Ensemble  The Eastman Mbira Ensemble provides a hands-on introduction to the ancient and sophisticated musical tradition of the Shona mbira of Zimbabwe. Visiting Zimbabwean guest artists will also offer students the opportunity to delve more deeply into traditional musical practices and their cultural and spiritual context. Songs are taught aurally so no musical experience or training is required.   May be repeated for credit",AAS
10054,AAS 168,WEST AFRICAN DRUMMING ADV,Fall 2018,1.0,Open,W,1900,2030,STRNG,LOWER,15,BANGOURA K,At least one semester of previous enrollment in the Intro West African Percussion Ensemble ***OR PRIOR MUSIC EXPERIENCE***.,"In this course, students will work on expanding their repertory of rhythms from Guinea, West Africa, and on improving their playing technique on the djembe, dunun, sangban, and kenkeni.  In particular, we will concentrate on learning extended solo sequences for the djembe, and more advanced arrangements played on the dunun, sangban, and kenkeni.  Students will also work on developing skills specific to performance, adding choreographed onstage movement to complement their drumming.",AAS
10063,AAS 168,WEST AFRICAN DRUMMING INTRO,Fall 2018,1.0,Open,W,2030,2200,STRNG,LOWER,20,BANGOURA K,NULL,"Led by Master Drummer Fana Bangoura, the West African Drumming Ensemble is dedicated to the dynamic percussive traditions of Guinea. The ensemble combines the iconic djembe hand drum with a trio of drums played with sticks, known as dunun, sangban, and kenkeni. The powerful, multi-part relationships established by this trio of drums provide a rhythmic foundation for the ensemble, enabling djembe players to develop technique in executing both accompaniment and solo parts. Drawing upon his experience as a soloist with the internationally acclaimed groups Les Percussions de Guinée and Les Ballets Africains, Fana engages ensemble players with a wide repertory of music from various regions of Guinea, including the rhythms of the Susu, Malinke, and Baga language groups.",AAS
10089,AAS 182,WEST AFRICAN DANCE FORMS 1A,Fall 2018,2.0,Open,MW,1525,1640,SPURR,DANCE,5,BANGOURA K,DAN 181,A continuation of Dance 181.,AAS
83048,AAS 220,RACE & GENDER IN POP FILM,Fall 2018,4.0,Open,MW,1230,1345,MOREY,504,40,WILLIS S,NULL,"This course explores Hollywood's current fascination with race and gender as social issues and spectacles. In particular, we will focus on the ways that social difference have become the sites of increasingly conflicted narrative and visual interactions in our films. To examine competing representations of racial difference and sexual difference in contemporary US culture, we analyze popular films of the 1980s and 1990s, from thrillers to action films to comedies.",AAS
88585,AAS 237,REPRESENTING AFRICAN-AMERICANS IN THE AFRICAN IMAGINATION,Fall 2018,4.0,Open,MW,1230,1345,LATT,441,20,KEMEDJIO C,NULL,"The dialogue among Africans, African-Americans, and other peoples of African descent rest on their common experiences of oppression, liberation, and cultural exchanges, experiences that have turned the Atlantic from a line of division into a dynamic bridge. This course seeks to critically investigate the shared destinies of African peoples and peoples of the African descent throughout the world. Thus, while acknowledging the centrality of the African-American experience within the Black Diaspora, this course argues that this centrality requires a critical investigation of the representation of Black America in the cultural productions of Africans, Haitians, Caribbeans and Black Europe. The Reading list include Maryse Condé, Lorraine Hansberry, Alice Walker, Paule Marshall, and Ngugi was Thiongo.",AAS
10142,AAS 240,Corruption and the Global Economy in Historical Perspective,Fall 2018,4.0,Open,W,1400,1640,HARK,210,0,INIKORI J,NULL,"This junior seminar offers students the opportunity to research and discuss the operation and consequences of widespread corruption in the global economy and the complex historical processes – economic, social, and political – which help to explain the phenomenon. To make the seminar a well-focused course, discussion will focus on country-case studies (with about three selected individuals in each country) that help to demonstrate the general pattern of causes and effects. A major issue to consider, among other things, is the role of cut-throat competition among global corporations and the effects of their corrupt activities on the quality of governance.",AAS
83569,AAS 242,Urban Change and City Politics,Fall 2018,4.0,Open,T,1230,1515,HARK,329,12,GAMM G,NULL,"Through intensive reading and discussion, we examine the politics and history of American cities. While we read scholarship drawing on the experiences of an array of cities--including Chicago, New York, Detroit, Boston, Philadelphia, Phoenix, New Haven, Atlanta, Buffalo, and Charlotte--our emphasis is on commonalities in the urban experience as well as on systematic differences. We analyze the relationship of cities to their hinterlands in the early stages of urban development, the rise of ethnic neighborhoods, suburbanization, industrialization, de-industrialization, housing and jobs, concentrated poverty, and population changes. Race, ethnicity, and class are central to this course, not only in understanding changes in neighborhoods but also in the nature of politics and governmental arrangements.",AAS
