crn,cname,title,semester,credit,status,schedule,begin,end,building,room,capacity,professor,preq,desc,major
85956,AAS 123,MUSIC OF BLACK AMERICANS,Fall 2019,4.0,Open,MW,1230,1345,LATT,210,30,HUNTER C,NULL,"This course will focus on the development of African American music from the 19th century through the latter part of the 20thcentury. We will study how African American music can be used a lens through which to understand the black American experience and the social and political landscape of American society as a whole. The historical, social, economic, and musical factors of various black American music genres will be examined with the aim to understand how African Americans constructed identity and interpreted the world around them. We will also discuss the performative aspects of these genres in order to understand how black music artists used their bodies and asserted their agency through performance on stage. Genres to be explored include the 19thcentury spiritual, the blues, gospel, jazz, early rock and roll, soul music, funk, rhythm and blues, and hip hop, among others.",AAS
85409,AAS 141,African-American History I to 1900,Fall 2019,4.0,Open,TR,1105,1220,WEGMN,1009,0,HUDSON L,NULL,"The course will focus on the cultural process of “Americanization” as Africans became African Americans; their struggle for self-expression and full freedom—family stability, education, economic, political and social rights. Using several African-American autobiographies, the course goal is to produce an accurate account of black life in America.",AAS
85948,AAS 147,GOSPEL MUSIC in AMERICA,Fall 2019,4.0,Open,MW,1025,1140,LATT,210,25,HUNTER C,NULL,"In “Gospel Music in America” we will examine the historical development of gospel music, beginning with 19th century slave spirituals and ending with an examination of 21st century gospel music practices. Throughout this course, we will attempt to answer the following questions: what is gospel music – how are the parameters of the genre defined? How has gospel music participated in constructions of black identity and spiritual formation? How has the sound and presentation of gospel music evolved – i.e. instrumentation, vocal aesthetic, performance persona, and technique? Lectures and discussions will also highlight some of the perpetually controversial tensions that have come to define gospel music history and culture. Such tensions involve the commercialization of gospel music, the ambiguity of lyrical meaning, gospel music’s flirtations with sensuality and sexuality, and debates about what constitutes “authentic” gospel music.",AAS
10031,AAS 165,MBIRA ENSEMBLE,Fall 2019,1.0,Open,M,1830,2000,ET,12,20,WEST G,NULL,"6ENS 216 (I, II-1) Mbira Ensemble  The Eastman Mbira Ensemble provides a hands-on introduction to the ancient and sophisticated musical tradition of the Shona mbira of Zimbabwe. Visiting Zimbabwean guest artists will also offer students the opportunity to delve more deeply into traditional musical practices and their cultural and spiritual context. Songs are taught aurally so no musical experience or training is required.   May be repeated for credit",AAS
10045,AAS 168,WEST AFRICAN DRUMMING ADV,Fall 2019,1.0,Open,W,1900,2030,STRNG,LOWER,15,BANGOURA K,At least one semester of previous enrollment in the Intro West African Percussion Ensemble ***OR PRIOR MUSIC EXPERIENCE***.,"In this course, students will work on expanding their repertory of rhythms from Guinea, West Africa, and on improving their playing technique on the djembe, dunun, sangban, and kenkeni.  In particular, we will concentrate on learning extended solo sequences for the djembe, and more advanced arrangements played on the dunun, sangban, and kenkeni.  Students will also work on developing skills specific to performance, adding choreographed onstage movement to complement their drumming.",AAS
10059,AAS 168,WEST AFRICAN DRUMMING INTRO,Fall 2019,1.0,Open,W,2030,2200,STRNG,LOWER,20,BANGOURA K,NULL,"Led by Master Drummer Fana Bangoura, the West African Drumming Ensemble is dedicated to the dynamic percussive traditions of Guinea. The ensemble combines the iconic djembe hand drum with a trio of drums played with sticks, known as dunun, sangban, and kenkeni. The powerful, multi-part relationships established by this trio of drums provide a rhythmic foundation for the ensemble, enabling djembe players to develop technique in executing both accompaniment and solo parts. Drawing upon his experience as a soloist with the internationally acclaimed groups Les Percussions de Guinée and Les Ballets Africains, Fana engages ensemble players with a wide repertory of music from various regions of Guinea, including the rhythms of the Susu, Malinke, and Baga language groups.",AAS
10062,AAS 182,WEST AFRICAN DANCE FORMS 1A,Fall 2019,2.0,Open,MW,1525,1640,SPURR,DANCE,5,BANGOURA K,DAN 181,A continuation of Dance 181.,AAS
10077,AAS 200,Cultural Politics of Prison Towns,Fall 2019,4.0,Open,M,1400,1640,LATT,441,20,DOUGHTY K; DUBLER J,NULL,"Rochester sits in one of the world’s most explicitly carceral landscapes, with more than a dozen state prisons within a 90 min drive. This co-taught course is a collaborative ethnographic research project designed to examine how the presence of prisons in towns around Rochester reflects and shapes the political, economic, and cultural lives of those who live in the region. Students will be introduced to methods and practices of ethnography and conduct firsthand research on the cultural politics of prison towns. Through assigned reading, students will learn about the history, sociology, and cultural logics of Rochester and the wider region, and of mass incarceration. What does a prison mean for a person living near one?  How does the presence of prisons shape people’s notions of justice, citizenship, and punishment? How do these nearby but largely invisible institutions shape the ways that we live in Rochester? Recommended prior courses: Introduction to Cultural Anthropology or Incarceration Nation",AAS
85912,AAS 210,"NGOMA: DRUMMING, DANCE, and RITUAL in SOUTHERN AFRICA",Fall 2019,4.0,Open,F,1000,1220,SPURR,DANCE,20,KYKER J,NULL,"Throughout much of Southern Africa, the word “ngoma” means drum. It also refers to specific musical styles that combine drumming, dance, and song. Finally, there is often a ritual dimension to ngoma, which is used in ceremonies focused around individual and social healing. In this class, students will bring ngoma alive by learning to perform various Zimbabwean ngoma genres, with the option of specializing in either drumming or dance. Through video clips, audio recordings, photos, and articles, we will also learn to understand ngoma within a larger cultural framework.",AAS
88522,AAS 213,"Politics of Nature: Gender, Race, and the Environment",Fall 2019,4.0,Open,W,1400,1640,LATT,540,15,BAKHMETYEVA T,NULL,"This course explores the relationship between the environment and social inequality, focusing specifically on issues of gender, race, and class. Is there a connection between sexism, racism, class exploitation, and environmental destruction? Using intersectional feminist analysis, we will investigate the historical roots of modern dualist constructions that juxtapose humans and the environment, men and women, creating an anthropocentric, racialized, and gendered framework that produces and maintains social inequalities and a destructive attitude toward the environment. Topics may include the following: historical ideas about nature and environment; eco-imperialism; eco-feminism; climate change and its connection to issues of race, gender, and class; justice and sustainability; poverty and natural resources; food justice; natural disasters (such as Hurricane Katrina) and their context, and others. The course features an optional three-day excursion to the Adirondack High Peaks Wilderness.",AAS
