crn,cname,title,semester,credit,status,schedule,begin,end,building,room,capacity,professor,preq,desc,major
92360,AAS 113,African Americans in South Africa,Spring 2018,4.0,Open,TR,1230,1345,RRLIB,456,0,MANDALA E,NULL,"When Oprah Winfrey founded a secondary school for girls in post-apartheid Johannesburg, she was following a long tradition of African American solidarity with the equally oppressed black population of South Africa. Forged in the 1780s by black north Atlantic mariners, the solidarity would encompass many areas of life before and during the apartheid era. This course explores four of those areas: evangelical ties connecting African American churches with South Africa’s independent church organizations; the spread of Booker T. Washington’s educational ideals in black South African academic circles; the impact of the Harlem Renaissance on African popular township culture; and the cross-fertilization of political ideologies originating on both sides of the Atlantic: Africans fighting against apartheid learned important lessons from the crusades of anti-colonial activists and internationalists in the diaspora, such as Marcus Garvey, Paul Robeson, and Mahatma Gandhi.",AAS
10021,AAS 141,African-American History I to 1900,Spring 2018,4.0,Open,TR,1400,1515,B&L,315,0,HUDSON L,NULL,"After a brief review of the primary features of pre-European African society, we will examine the affect of the ""Middle Passage"" -- the transportation of enslaved Africans to the Western Hemisphere.  We will then focus on the process of ""Americanization"" as the Africans became African-Americans. The struggle for freedom and citizenship will conclude our survey. The main course readings will be a representative sample of African-American autobiographies, and short selections from a secondary text. Using the autobiographies as historical source material, we will produce a brief history of the values and cultural practices of Africans in America, and the ways in which African-Americans adapted to and shaped American life and society.",AAS
10042,AAS 162,MODERN AFRICAN-AMERICAN ENGLISH,Spring 2018,4.0,Open,TR,1230,1345,MOREY,501,40,ELOI-EVANS S,NULL,"This course looks at the varieties of English used primarily by and among African Americans. We will first explore and discuss the linguistic features (lexicon and grammar) of African American English (AAE). We will also investigate the ways in which AAE is being utilized in popular culture. Additionally, we will look at AAVE’s connection to African languages and creoles. Finally, this course will look at the issues connected to AAVE and attitudes towards this variety and its effects on teachers’ expectations and students' progress; linguistic profiling and discrimination in employment and housing.",AAS
10050,AAS 165,MBIRA ENSEMBLE,Spring 2018,1.0,Open,M,1830,2000,ET,12,11,WEST G,NULL,"6ENS 216 (I, II-1) Mbira Ensemble  The Eastman Mbira Ensemble provides a hands-on introduction to the ancient and sophisticated musical tradition of the Shona mbira of Zimbabwe. Visiting Zimbabwean guest artists will also offer students the opportunity to delve more deeply into traditional musical practices and their cultural and spiritual context. Songs are taught aurally so no musical experience or training is required.   May be repeated for credit",AAS
10073,AAS 168,WEST AFRICAN DRUM ADV,Spring 2018,1.0,Open,W,1900,2030,STRNG,LOWER,15,BANGOURA K,At least one semester of previous enrollment in the Intro West African Percussion Ensemble ***OR PRIOR MUSIC EXPERIENCE***.,"In this course, students will work on expanding their repertory of rhythms from Guinea, West Africa, and on improving their playing technique on the djembe, dunun, sangban, and kenkeni.  In particular, we will concentrate on learning extended solo sequences for the djembe, and more advanced arrangements played on the dunun, sangban, and kenkeni.  Students will also work on developing skills specific to performance, adding choreographed onstage movement to complement their drumming.",AAS
10084,AAS 168,WEST AFRICAN DRUMMING INTRO,Spring 2018,1.0,Open,W,2030,2200,STRNG,LOWER,20,BANGOURA K,NULL,"Led by Master Drummer Fana Bangoura, the West African Drumming Ensemble is dedicated to the dynamic percussive traditions of Guinea. The ensemble combines the iconic djembe hand drum with a trio of drums played with sticks, known as dunun, sangban, and kenkeni. The powerful, multi-part relationships established by this trio of drums provide a rhythmic foundation for the ensemble, enabling djembe players to develop technique in executing both accompaniment and solo parts. Drawing upon his experience as a soloist with the internationally acclaimed groups Les Percussions de Guinée and Les Ballets Africains, Fana engages ensemble players with a wide repertory of music from various regions of Guinea, including the rhythms of the Susu, Malinke, and Baga language groups.",AAS
83564,AAS 185,African American Religious History,Spring 2018,4.0,Open,TR,1230,1345,DEWEY,2110E,40,GUILLORY M,NULL,"Historical survey of religions as practiced by people of African descent living in North America. Christianity, Islam, and African-derived religions will be examined. Through its canvassing of doctrinal and ritual frameworks, students are afforded an opportunity to view the diverse and complex terrain of African American religion. Class format includes lectures, discussions, and film/music.",AAS
92371,AAS 201,North Africa and the Middle East since 1838,Spring 2018,4.0,Open,R,1400,1640,RRLIB,362,0,MANDALA E,NULL,"North Africa and the Middle East is in a mess: Instead of democracy, the Arab Spring delivered a military dictatorship to Egypt; Iraq and Syria are melting into warring tribal enclaves; Saudi Arabia is waging a savage war in Yemen; and the Palestinians remain an unprotected stateless people. There is a crisis, and this course introduces students to the predicament, arguing that since the first Industrial Revolution in England, the peoples of North Africa and the Middle East have refashioned their destinies in partnership with the West. Students will examine how the following encounters helped make the region as we know it: the Anglo-Turkish Convention of 1838, transition from Ottoman to West European colonialism, discovery of huge and easily extractable oil reserves, creation of the state of Israel, the Iranian Revolution of 1979, and the US Invasion of Iraq in 2003. The class will also explore how the above patterns of engagement shaped the histories of the region’s working classes, women, and the peasantry.",AAS
82741,AAS 204,EARLY CIVILIZATIONS OF AFRICA,Spring 2018,4.0,Open,TR,1650,1805,B&L,315,20,NKUMBAAN S,NULL,"The course will examine the environmental, social and cultural dynamics that led to urbanism and other aspects of cultural transformation in Africa before the advent of European colonialism. Topics include concepts of civilization, civilization of Africa, including those of the Nile Valley, the Horn of Africa, the Western Sudan, Zimbabwe, the Inland Niger Delta and the West African Rainforest. The role of the peripheries in the development of these centres will be looked at.",AAS
10134,AAS 218,"Unequal Development and State Policy: Brazil, the US, and Nigeria",Spring 2018,4.0,Open,MW,1025,1140,HYLAN,203,0,INIKORI J,NULL,"The 2010 Brazilian national census shows 97.2 million Afro-Brazilians and 90.6 million Whites. These two ethnic nationalities have developed unequally since the establishment of colonial Brazil by Portugal in the sixteenth century. The 2010 census shows the average income of Afro-Brazilians was less than half that of White Brazilians. In 2009, the wealth gap between White and Black American families was $236,500. The most populous African nation, Nigeria, shows similar inequality among its major ethnic nationalities. This magnitude of inequality among ethnic nationalities has given rise to serious problems in inter-group relations in the three countries. This course aims to trace, comparatively, the historical origins of the phenomenon, examine the political and economic consequences, and discuss the politics and economics of state policy designed to address it. *NOTE: Students taking this Course for ECO credit must have previously taken ECO 108*",AAS
81765,AAS 222,"MUSIC, ETHNOGRAPHY, and HIV/AIDS",Spring 2018,4.0,Open,TR,940,1055,LATT,540,15,KYKER J,NULL,"Addressing the devastating effects of HIV/AIDS in the United States, United Kingdom, Tanzania, Zimbabwe, Uganda, Haiti, and elsewhere, this uniquely interdisciplinary course will incorporate insights from the fields of public health, medical anthropology, and ethnomusicology.  Studying the HIV/AIDS epidemic through the lens of musical expression, we will ask how individuals and communities affected by HIV/AIDS have mobilized musical sound in response to the disease.  Topics addressed within the class will include musical representations of HIV/AIDS within queer communities; the use of music in public health campaigns to raise awareness about the disease; and the mobilization of musical performance within grassroots support groups for individuals affected by HIV/AIDS.",AAS
84224,AAS 226,Black Paris - 2 Credits,Spring 2018,2.0,Open,MW,1230,1345,LCHAS,122,0,KEMEDJIO C,NULL,"How does Black Paris, as the lived experience of today marginalized immigrants, as a site of the production of a certain understanding of blackness, contribute to our understanding of the global black condition? Within a French context, how does the historical representation of blackness, from slavery to the contemporary moment by way of colonization, inform the current black experience? Paris represented a space of freedom and artistic glory that African American writers, soldiers and artists were denied back home. However, for those caught in poor suburbs, calls to mind images of riots, dilapidated schools, the Black America has come to embody the new land of hope. Rap music and hip-hop, elements of transnational black imagination that sometimes speaks the language of the Black Lives Matter movement, are the soundtrack of this new Black Paris. This course captures, through readings and film enhanced with a visit of Black Paris, the promise and the challenges of Black Paris.",AAS
10206,AAS 229,SLAVERY & THE 20TH-CENTURY AFRICAN-AMERICAN NOVEL,Spring 2018,4.0,Open,MW,1150,1305,MEL,224,0,TUCKER J,NULL,"Race-based slavery in America ended over a century ago, but our nation continues to grapple with the legacies of ""the peculiar institution."" Specifically, slavery has haunted the literary imaginations of African-American writers of the last century. This course surveys a range of African-American novels in order to analyze the ways in which these texts both portray and represent slavery's lasting effects on American culture, society, and politics. Readings include works by Steven Barnes, Arna Bontemps, Octavia Butler, Pauline Hopkins, Charles Johnson, Edward P. Jones, Gayl Jones, Toni Morrison, Margaret Walker, and more. Students will be evaluated on class participation, bi-weekly reading responses, and two formal papers.",AAS
10178,AAS 246,CRY FREEDOM,Spring 2018,4.0,Open,MW,1150,1305,LCHAS,161,25,CADORETTE C,NULL,"The principal ideas of various liberation theologians -- Latin American, Asian, African, Afro-American, and feminist. We will also examine the social worlds in which they think and write, thus trying to see the connection between their ideas and the social environments they want to liberate.",AAS
79241,AAS 247,Black Paris,Spring 2018,4.0,Open,MW,1230,1345,LCHAS,122,15,KEMEDJIO C,NULL,"How does Black Paris, as the lived experience of today marginalized immigrants, as a site of the production of a certain understanding of blackness, contribute to our understanding of the global black condition? This course is a study of Black Paris, as imagined by generations of Black cultural producers. Paris is a space of freedom and artistic glory that African American writers, soldiers and artists were denied back home. For students from French colonies, Paris was the birthplace of Negritude, the cultural renaissance informed by the Harlem Renaissance. Black Paris, for those caught in poor suburbs, calls to mind images of riots, dilapidated schools, but also rap music and hip-hop, elements of transnational black imagination that sometimes speaks the language of the Black Lives Matter movement. In English",AAS
10180,AAS 249,The Civil War,Spring 2018,4.0,Open,TR,1105,1220,MEL,224,0,HUDSON L,NULL,"Over 150 years after the Civil War,  historians continue to disagree as to ""what caused the war"" and raise doubts as to exactly who were the ""winners"" and ""losers.""  The course re-examines the causes, conduct, and consequences of the American Civil War.",AAS
10222,AAS 281,The Role of the State in Global Historical Perspective,Spring 2018,4.0,Open,T,1400,1640,MOREY,501,0,INIKORI J,NULL,"The debate on the role of the state versus that of the free market in the socioeconomic process is as old as the history of political economy. We discuss what economists, political scientists, & economic historians characterize as the Washington consensus versus the Beijing consensus or the Asian model. This is followed by a discussion of the contributions of some notable thinkers — Adam Smith, Alexander Hamilton, Friedrich List, John Maynard Keynes, & Friedrich von Hayek. The greater part of the course deals with selected historical cases across the globe. The discussions are informed by a political economy conceptual framework, which helps to explain the politics and economics of state policy and the long-run historical processes that created the political & economic conditions. Students’ performance is based on three short essays (four typed pages each) presented to the class for discussion and thereafter revised for grading. No mid-term & final examinations.",AAS
10241,AAS 287,SOC CONST OF WHITENESS,Spring 2018,4.0,Open,TR,1400,1515,HYLAN,105,20,MARINER K,NULL,"Whiteness is often taken to be a human norm.  An unraced, default, invisible category.  Fundamentally unmarked, and yet a marker of power, status, and privilege.  It has been the standard against which all non-white ways of being have been rendered Other.  But whiteness is not a given.  It is a mutable and flexible category.  What does it mean to be white?  How does one (or how do many) become white?  And how can one (or many) move in and out of whiteness?  In this course, we will deconstruct whiteness through theoretical, historical, and ethnographic lenses.  We will examine the historical processes by which a number of ethnic groups have become white, and we will interrogate the ways in which whiteness continues to be actively produced and enacted in contemporary discourse and social life.",AAS
10151,AAS 297,Contemporary Black Literature and Visual Culture,Spring 2018,4.0,Open,MW,1025,1140,DEWEY,4162,14,WEEBER S,NULL,"This class will explore the intersections between race, literature, and visual culture. We will read graphic novels; texts that reflect on film, photography, and painting; poetry that splices text and visual art together; and remediations and adaptations, including texts adapted for film. We will think through the ways in which contemporary culture is shaped by and shapes the verbal and visual work created by artists, speakers, writers, filmmakers, and activists. What are the possibilities and limitations of different media and forms, and how does black art exploit and explode these possibilities and limitations? We will ask questions about representation and the politics of art. In the wake of movements like #OscarsSoWhite, what is the artist’s responsibility when it comes to addressing and responding to representation in contemporary culture? Does black art have a responsibility to positively portray the black community?",AAS
82753,AAS 302,ARCHAEOLOGY OF WEST AFRICA: 500 R.C. - A.D. 1950,Spring 2018,4.0,Open,TR,1400,1515,LCHAS,181,20,NKUMBAAN S,NULL,"The course will enable the student to understand the inception of present-day complex societies of West Africa and how they evolved, and their vicissitudes in the period 500 B.C. to A.D. 1950. Themes include general characteristics of West African societies in the Iron Age, origins of copper and iron technology and their effects on local societies, megalith and tumuli sites of the Western Sudan, urbanism, and trade networks and contacts in West Africa.",AAS
10253,AAS 391,INDEPENDENT STUDY,Spring 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,"Independent studies on some aspect of the problems of energy resource development in lower-income countries, solutions to it, and relationship to development issues, including work with the instructor’s Access to Hydrocarbon Energy for African Development project, can be done within this course.",AAS
10270,AAS 393,SENIOR PROJECT,Spring 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,"May be an independent course with a faculty sponsor or may be taken in an advanced research seminar in which the student elects to write the essay but not to do all the required readings; as such it does not meet the 300-level seminar requirement, but it may be used as a distribution requirement within the area.",AAS
10288,AAS 394,INTERNSHIP,Spring 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,Experience in an applied setting supervised on site. Approved and overseen by a University instructor.,AAS
10308,AAS 449,The Civil War,Spring 2018,4.0,Open,TR,1105,1220,MEL,224,0,HUDSON L,NULL,"Over 150 years after the Civil War,  historians continue to disagree as to ""what caused the war"" and raise doubts as to exactly who were the ""winners"" and ""losers.""  The course re-examines the causes, conduct, and consequences of the American Civil War.",AAS
10324,AAS 986V,FULL TIME VISITING STUDENT,Spring 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,AAS
